,Unnamed: 0,copies,f1,f1_fid,score_p,score_n,score_fidp,score_fidn
178,178,179.0,0.85371524,0.8458334,0.58970815,-0.30794445,0.51148695,-0.24174173
179,179,180.0,0.85371524,0.8458334,0.5897891,-0.30750418,0.51192665,-0.24170604
180,180,181.0,0.85371524,0.8458334,0.5898662,-0.3070652,0.5123597,-0.24166803
181,181,182.0,0.85371524,0.8458334,0.5899396,-0.30662736,0.51278627,-0.24162772
182,182,183.0,0.85371524,0.8458334,0.5900092,-0.30619085,0.5132064,-0.24158517
183,183,184.0,0.85371524,0.8458334,0.59007514,-0.3057556,0.51362026,-0.24154043
184,184,185.0,0.85371524,0.8458334,0.5901374,-0.3053216,0.51402795,-0.24149354
185,185,186.0,0.85371524,0.8458334,0.59019625,-0.30488887,0.51442945,-0.2414445
186,186,187.0,0.85371524,0.8458334,0.59025156,-0.3044574,0.5148249,-0.2413934
187,187,188.0,0.85371524,0.8458334,0.5903034,-0.30402717,0.5152143,-0.24134025
188,188,189.0,0.85371524,0.8458334,0.5903519,-0.30359823,0.51559794,-0.24128509
189,189,190.0,0.85371524,0.8458334,0.59039706,-0.30317053,0.5159757,-0.24122794
190,190,191.0,0.85371524,0.8458334,0.59043896,-0.3027441,0.51634777,-0.24116889
191,191,192.0,0.85371524,0.8458334,0.5904776,-0.302319,0.51671416,-0.2411079
192,192,193.0,0.85371524,0.8458334,0.59051305,-0.30189508,0.51707494,-0.24104509
193,193,194.0,0.85371524,0.8458334,0.5905454,-0.30147249,0.5174302,-0.24098043
194,194,195.0,0.85371524,0.8458334,0.59057474,-0.30105114,0.51778,-0.24091396
195,195,196.0,0.85371524,0.8458334,0.59060097,-0.300631,0.51812446,-0.24084577
196,196,197.0,0.85371524,0.8458334,0.5906242,-0.3002122,0.5184637,-0.24077585
197,197,198.0,0.85371524,0.8458334,0.59064466,-0.29979464,0.51879764,-0.24070421
198,198,199.0,0.85371524,0.8458334,0.5906621,-0.29937834,0.5191264,-0.24063094
199,199,200.0,0.86107147,0.8458334,0.5906768,-0.2989633,0.5194501,-0.240556
200,200,201.0,0.86107147,0.8458334,0.5906886,-0.29854956,0.51976883,-0.24047947
201,201,202.0,0.86107147,0.8458334,0.59069765,-0.29813704,0.5200826,-0.24040139
202,202,203.0,0.86107147,0.8458334,0.5907041,-0.29772577,0.5203914,-0.24032173
203,203,204.0,0.86107147,0.8458334,0.5907079,-0.29731578,0.5206954,-0.24024057
204,204,205.0,0.86107147,0.8458334,0.5907089,-0.296907,0.52099466,-0.24015793
205,205,206.0,0.86107147,0.8458334,0.5907074,-0.29649955,0.5212892,-0.2400738
206,206,207.0,0.86107147,0.8458334,0.5907034,-0.29609329,0.52157915,-0.23998828
207,207,208.0,0.86107147,0.8458334,0.59069693,-0.29568827,0.52186453,-0.2399013
208,208,209.0,0.86107147,0.8458334,0.5906879,-0.2952845,0.5221452,-0.23981301
209,209,210.0,0.86107147,0.8458334,0.5906764,-0.29488203,0.5224216,-0.23972332
210,210,211.0,0.86107147,0.8458334,0.5906626,-0.29448074,0.5226935,-0.23963232
211,211,212.0,0.86107147,0.8458334,0.5906465,-0.29408073,0.5229611,-0.23954001
212,212,213.0,0.86107147,0.8458334,0.590628,-0.29368195,0.52322435,-0.2394464
213,213,214.0,0.86107147,0.8458334,0.5906072,-0.29328436,0.5234834,-0.23935156
214,214,215.0,0.86107147,0.8458334,0.5905843,-0.29288802,0.5237382,-0.23925547
215,215,216.0,0.8679532,0.8458334,0.590559,-0.29249293,0.5239889,-0.2391582
216,216,217.0,0.8679532,0.8458334,0.5905316,-0.29209906,0.5242355,-0.23905973
217,217,218.0,0.8679532,0.8458334,0.5905021,-0.29170644,0.5244781,-0.23896012
218,218,219.0,0.8679532,0.8458334,0.59047043,-0.29131502,0.52471673,-0.23885933
219,219,220.0,0.8679532,0.8458334,0.5904367,-0.2909248,0.52495134,-0.23875742
220,220,221.0,0.8679532,0.8458334,0.5904009,-0.29053575,0.5251821,-0.23865445
221,221,222.0,0.8679532,0.8458334,0.5903631,-0.290148,0.5254091,-0.23855038
222,222,223.0,0.8679532,0.8458334,0.59032327,-0.2897614,0.52563226,-0.23844524
223,223,224.0,0.8679532,0.8458334,0.5902815,-0.28937602,0.5258516,-0.2383391
224,224,225.0,0.8679532,0.8458334,0.5902378,-0.28899184,0.5260674,-0.23823193
225,225,226.0,0.8679532,0.8458334,0.5901922,-0.28860885,0.52627945,-0.23812374
