,Unnamed: 0,copies,f1,f1_fid
244,244,100.0,0.8458334,0.851342
245,245,100.0,0.8458334,0.851342
246,246,100.0,0.8458334,0.851342
247,247,100.0,0.8458334,0.851342
248,248,100.0,0.8458334,0.851342
249,249,100.0,0.8458334,0.851342
250,250,100.0,0.8458334,0.851342
251,251,100.0,0.8458334,0.851342
252,252,100.0,0.8458334,0.851342
253,253,100.0,0.8458334,0.851342
254,254,100.0,0.8458334,0.851342
255,255,100.0,0.8458334,0.851342
256,256,100.0,0.8458334,0.851342
257,257,100.0,0.8458334,0.851342
258,258,100.0,0.8458334,0.851342
259,259,100.0,0.8458334,0.851342
260,260,100.0,0.8458334,0.851342
261,261,100.0,0.8458334,0.851342
262,262,100.0,0.8458334,0.851342
263,263,100.0,0.8458334,0.851342
264,264,100.0,0.8458334,0.851342
265,265,100.0,0.8458334,0.851342
266,266,100.0,0.8458334,0.851342
267,267,100.0,0.8458334,0.851342
268,268,100.0,0.8458334,0.851342
269,269,100.0,0.8458334,0.851342
270,270,100.0,0.8458334,0.851342
271,271,100.0,0.8458334,0.851342
272,272,100.0,0.8458334,0.851342
273,273,100.0,0.8458334,0.851342
274,274,100.0,0.8458334,0.851342
275,275,100.0,0.8458334,0.851342
276,276,100.0,0.8458334,0.851342
277,277,100.0,0.8458334,0.851342
278,278,100.0,0.8458334,0.851342
279,279,100.0,0.8458334,0.851342
280,280,100.0,0.8458334,0.851342
281,281,100.0,0.8458334,0.851342
282,282,100.0,0.8458334,0.851342
283,283,100.0,0.8458334,0.851342
284,284,100.0,0.8458334,0.851342
285,285,100.0,0.8458334,0.851342
286,286,100.0,0.8458334,0.851342
287,287,100.0,0.8458334,0.851342
288,288,100.0,0.8458334,0.851342
289,289,100.0,0.8458334,0.851342
290,290,100.0,0.8458334,0.851342
291,291,100.0,0.8458334,0.851342
292,292,100.0,0.8458334,0.851342
